League,Season,Stage,Player,Team,GP,MIN,FGM,FGA,3PM,3PA,FTM,FTA,ORB,DRB,REB,AST,STL,BLK,PTS,TOV,PF,PTS_per_min,REB_per_min,AST_per_min,STL_per_min,BLK_per_min,TOV_per_min,3P_pct,FT_pct,FG_pct
NBA,2016 - 2017,Playoffs,Kyle Lowry,TOR,8,300.4,43,93,13,38,27,33,3,22,25,47,12,4,126,17,26,0.4194407456724368,0.08322237017310254,0.15645805592543277,0.03994673768308922,0.013315579227696406,0.05659121171770973,0.34210526315789475,0.8181818181818182,0.46236559139784944
NBA,2016 - 2017,Playoffs,George Hill,UTA,8,280.9,46,98,12,31,21,29,8,25,33,29,2,1,125,13,25,0.44499822000712,0.11747953008187968,0.10323958704165184,0.00711997152011392,0.00355998576005696,0.04627981488074048,0.3870967741935484,0.7241379310344828,0.46938775510204084
NBA,2016 - 2017,Playoffs,Danny Green,SAS,16,435.8,45,111,26,76,8,14,13,44,57,23,10,15,124,17,30,0.28453418999541075,0.13079394217530976,0.05277650298301973,0.02294630564479119,0.03441945846718678,0.03900871959614502,0.34210526315789475,0.5714285714285714,0.40540540540540543
NBA,2016 - 2017,Playoffs,Pau Gasol,SAS,16,365.4,50,114,6,18,17,24,39,75,114,31,7,15,123,18,35,0.33661740558292286,0.31198686371100165,0.0848385331143952,0.019157088122605366,0.04105090311986864,0.04926108374384237,0.3333333333333333,0.7083333333333334,0.43859649122807015
NBA,2016 - 2017,Playoffs,Patrick Beverley,HOU,11,324.7,45,109,21,52,11,14,21,40,61,33,16,2,122,18,38,0.3757314444102248,0.1878657222051124,0.10163227594702803,0.04927625500461965,0.006159531875577456,0.05543578688019711,0.40384615384615385,0.7857142857142857,0.41284403669724773
NBA,2016 - 2017,Playoffs,Trevor Ariza,HOU,11,412.9,41,97,23,61,13,14,8,48,56,23,14,2,118,9,25,0.2857834826834585,0.13562605957859047,0.055703560184063944,0.03390651489464762,0.004843787842092517,0.021797045289416325,0.3770491803278688,0.9285714285714286,0.422680412371134
NBA,2016 - 2017,Playoffs,Clint Capela,HOU,11,286.2,46,82,0,1,24,39,26,70,96,12,8,28,116,8,28,0.4053109713487072,0.33542976939203356,0.041928721174004195,0.027952480782669462,0.09783368273934312,0.027952480782669462,0.0,0.6153846153846154,0.5609756097560976
NBA,2016 - 2017,Playoffs,Marc Gasol,MEM,6,239.7,39,83,7,12,31,33,7,32,39,25,2,4,116,15,22,0.48393825615352526,0.16270337922403005,0.10429703796412182,0.008343763037129746,0.016687526074259492,0.0625782227784731,0.5833333333333334,0.9393939393939394,0.46987951807228917
NBA,2016 - 2017,Playoffs,Andre Iguodala,GSW,16,419.4,46,101,8,42,15,26,9,56,65,51,14,7,115,16,29,0.27420123986647593,0.15498330948974726,0.12160228898426324,0.03338102050548403,0.016690510252742013,0.038149737720553176,0.19047619047619047,0.5769230769230769,0.45544554455445546
NBA,2016 - 2017,Playoffs,Bojan Bogdanovic,WAS,13,263.9,36,87,16,45,27,32,10,46,56,9,6,1,115,8,17,0.43577112542629787,0.21220159151193635,0.034103827207275485,0.022735884804850323,0.0037893141341417205,0.030314513073133764,0.35555555555555557,0.84375,0.41379310344827586
